	agt	league	split	playoffs	date	game	patch	side	team	ban1	ban2	ban3	ban4	ban5	gamelength	result	kills	deaths	assists	doublekills	triplekills	quadrakills	pentakills	firstblood	team kpm	firstdragon	dragons	opp_dragons	elementaldrakes	opp_elementaldrakes	infernals	mountains	clouds	oceans	dragons (type unknown)	elders	opp_elders	firstherald	heralds	opp_heralds	firstbaron	barons	opp_barons	firsttower	towers	opp_towers	firstmidtower	firsttothreetowers	inhibitors	opp_inhibitors	damagetochampions	dpm	damageshare	damagetakenperminute	damagemitigatedperminute	wardsplaced	wpm	wardskilled	wcpm	controlwardsbought	visionscore	vspm	totalgold	earnedgold	earned gpm	earnedgoldshare	goldspent	gspd	total cs	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	xpat10	csat10	opp_goldat10	opp_xpat10	opp_csat10	golddiffat10	xpdiffat10	csdiffat10	goldat15	xpat15	csat15	opp_goldat15	opp_xpat15	opp_csat15	golddiffat15	xpdiffat15	csdiffat15
0	5655-7249	LPL	Spring	0	2020/1/13 9:22	1	10.1	Blue	Invictus Gaming	Pantheon	Nautilus	Elise	Gangplank	Mordekaiser	2640	1	28	29	75	2	0	0	0	0	0.6364	0	2	4	1	4	1	0	0	0	NaN	1	0	1	1	1	0	1	1	1	8	8	0	0	1	2	144179	3276.7955	NaN	4052.7727	4015.2273	178	4.0455	88	2	51	376	8.5455	82426	54120	1230	NaN	77050	0.058784	NaN	NaN	276	186	18	NaN	14522	17203	311	15355	17507	306	-833	-304	5	24015	27080	476	24974	28055	482	-959	-975	-6
1	5655-7249	LPL	Spring	0	2020/1/13 9:22	1	10.1	Red	FunPlus Phoenix	Aphelios	Akali	Lucian	Varus	Xayah	2640	0	29	28	78	3	1	0	0	1	0.6591	1	4	2	4	1	2	1	0	1	NaN	0	1	0	1	1	1	1	1	0	8	8	1	1	2	1	126285	2870.1136	NaN	3878.3636	3981	166	3.7727	73	1.6591	75	382	8.6818	75178	46872	1065.2727	NaN	72650	-0.058784	NaN	NaN	303	204	25	NaN	15355	17507	306	14522	17203	311	833	304	-5	24974	28055	482	24015	27080	476	959	975	6
2	5655-7250	LPL	Spring	0	2020/1/13 10:37	2	10.1	Blue	Invictus Gaming	Pantheon	Nautilus	Rumble	Ryze	Leona	1814	0	11	19	20	1	1	0	0	0	0.3638	0	0	5	0	4	0	0	0	0	NaN	0	1	0	1	1	NaN	0	0	0	2	8	0	0	0	1	53058	1754.9504	NaN	2765.1599	2086.2404	105	3.473	45	1.4884	32	219	7.2437	50074	30193	998.6659	NaN	48925	0.038903	NaN	NaN	188	140	12	NaN	14994	18414	317	15595	19020	296	-601	-606	21	23764	27637	476	25271	29495	450	-1507	-1858	26
3	5655-7250	LPL	Spring	0	2020/1/13 10:37	2	10.1	Red	FunPlus Phoenix	Aphelios	Akali	Lucian	Elise	Gragas	1814	1	19	11	27	4	1	0	0	1	0.6284	1	5	0	4	0	1	1	2	0	NaN	1	0	1	1	1	NaN	0	0	1	8	2	1	1	1	0	53602	1772.9438	NaN	2754.0794	2768.4675	102	3.3738	52	1.72	40	222	7.3429	56648	36767	1216.108	NaN	47058	-0.038903	NaN	NaN	216	129	15	NaN	15595	19020	296	14994	18414	317	601	606	-21	25271	29495	450	23764	27637	476	1507	1858	-26
4	5656-7252	LPL	Spring	0	2020/1/13 11:26	1	10.01	Blue	LGD Gaming	Pantheon	Elise	Rumble	Mordekaiser	Ornn	2283	1	17	11	40	2	1	0	0	1	0.4468	0	3	2	3	2	2	0	1	0	NaN	0	0	1	2	0	0	0	1	0	7	6	1	1	1	1	79703	2094.6912	NaN	2520.657	2355.2168	132	3.4691	63	1.6557	42	279	7.3325	64849	40184	1056.0841	NaN	58543	0.004846	NaN	NaN	192	137	8	NaN	15412	18525	306	14660	17758	305	752	767	1	24351	28922	474	22340	26722	476	2011	2200	-2
5	5656-7252	LPL	Spring	0	2020/1/13 11:26	1	10.01	Red	LNG Esports	Akali	Qiyana	Lucian	Thresh	Yasuo	2283	0	11	17	29	1	0	0	0	0	0.2891	1	2	3	2	3	1	0	0	1	NaN	0	0	0	0	2	1	1	0	1	6	7	0	0	1	1	62805	1650.5913	NaN	2877.9501	2991.406	130	3.4166	59	1.5506	48	312	8.1997	62230	37565	987.2536	NaN	58260	-0.004846	NaN	NaN	254	150	40	NaN	14660	17758	305	15412	18525	306	-752	-767	-1	22340	26722	476	24351	28922	474	-2011	-2200	2
6	5655-7251	LPL	Spring	0	2020/1/13 11:31	3	10.01	Blue	Invictus Gaming	Pantheon	Nautilus	Rumble	Ryze	Gangplank	1943	1	20	9	45	2	1	0	0	0	0.6176	1	2	2	2	2	1	1	0	0	NaN	0	0	1	2	0	1	1	0	1	7	3	1	1	1	0	66192	2044.0144	NaN	2484.21	2711.8271	112	3.4586	58	1.791	32	255	7.8744	60121	38924	1201.9763	NaN	52825	0.003565	NaN	NaN	204	146	12	NaN	14465	16803	299	14951	17413	299	-486	-610	0	22940	26668	482	23525	27787	489	-585	-1119	-7
7	5655-7251	LPL	Spring	0	2020/1/13 11:31	3	10.01	Red	FunPlus Phoenix	Aphelios	Akali	Lucian	Gragas	Aatrox	1943	0	9	20	15	0	0	0	0	1	0.2779	0	2	2	2	2	0	1	0	1	NaN	0	0	0	0	2	0	0	1	0	3	7	0	0	0	1	47284	1460.1338	NaN	2770.2522	3298.3016	109	3.3659	50	1.544	54	236	7.2877	53134	31937	986.2172	NaN	52637	-0.003565	NaN	NaN	211	133	18	NaN	14951	17413	299	14465	16803	299	486	610	0	23525	27787	489	22940	26668	482	585	1119	7
8	5656-7253	LPL	Spring	0	2020/1/13 12:29	2	10.1	Blue	LNG Esports	Qiyana	Gragas	Elise	Mordekaiser	Ornn	1517	1	20	6	47	1	0	0	0	1	0.791	1	4	0	4	0	1	1	2	0	NaN	0	0	0	1	1	1	1	0	0	11	3	1	1	4	0	57470	2273.0389	NaN	2458.5366	2123.8497	80	3.1641	29	1.147	27	195	7.7126	51642	34791	1376.0448	NaN	43275	0.1251	NaN	NaN	160	78	26	NaN	17029	18963	326	16567	17285	296	462	1678	30	29370	30434	510	24071	25986	452	5299	4448	58
9	5656-7253	LPL	Spring	0	2020/1/13 12:29	2	10.1	Red	LGD Gaming	Akali	Aphelios	Pantheon	Ryze	Orianna	1517	0	6	20	10	0	0	0	0	0	0.2373	0	0	4	0	4	0	0	0	0	NaN	0	0	1	1	1	0	0	1	1	3	11	0	0	0	4	39249	1552.3665	NaN	3071.5096	2423.4542	77	3.0455	25	0.9888	33	133	5.2604	40168	23317	922.2281	NaN	38180	-0.1251	NaN	NaN	114	90	4	NaN	16567	17285	296	17029	18963	326	-462	-1678	-30	24071	25986	452	29370	30434	510	-5299	-4448	-58
